province_state,country_region,confirmed,deaths
West Bengal,India,1625375,19645
West Bengal,India,2113666,21501
West Bengal,India,2104161,21435
West Bengal,India,624224,10434
West Bengal,India,565272,10053
West Bengal,India,401394,7235
West Bengal,India,32838,980
West Bengal,India,2018820,21203
West Bengal,India,2016516,21189
West Bengal,India,1605794,19333
West Bengal,India,2018948,21203
West Bengal,India,2017138,21197
West Bengal,India,880894,11637
West Bengal,India,2072307,21282
West Bengal,India,532695,9277
West Bengal,India,2117626,21527
West Bengal,India,1504097,17779
West Bengal,India,538343,9401
West Bengal,India,1979254,20445
West Bengal,India,561321,9957
West Bengal,India,1546898,18417
West Bengal,India,385589,7013
West Bengal,India,2017637,21200
West Bengal,India,2106524,21460
West Bengal,India,1774332,19917
West Bengal,India,17283,639
West Bengal,India,2118375,21531
West Bengal,India,2016298,21186
West Bengal,India,1630626,19716
West Bengal,India,570981,10201
West Bengal,India,2112194,21493
West Bengal,India,1376377,15541
West Bengal,India,1596332,19188
West Bengal,India,568650,10131
West Bengal,India,688956,10710
West Bengal,India,2039942,21231
West Bengal,India,2108188,21477
West Bengal,India,1622608,19594
West Bengal,India,225137,4359
West Bengal,India,11494,485
West Bengal,India,1489286,17516
West Bengal,India,12735,518
West Bengal,India,2102008,21420
West Bengal,India,1553177,18522
West Bengal,India,2034485,21225
West Bengal,India,2113387,21499
West Bengal,India,575712,10272
West Bengal,India,1528720,18149
West Bengal,India,441885,7820
West Bengal,India,1385801,15678
West Bengal,India,2019832,21205
West Bengal,India,107323,2259
West Bengal,India,1573246,18863
West Bengal,India,1496710,17644
West Bengal,India,793552,11159
West Bengal,India,31448,956
West Bengal,India,1566393,18736
West Bengal,India,250580,4837
West Bengal,India,2026477,21216
West Bengal,India,2094327,21372
West Bengal,India,2018671,21203
West Bengal,India,153754,3073
West Bengal,India,477446,8322
West Bengal,India,138870,2794
West Bengal,India,51757,1255
West Bengal,India,2111057,21489
West Bengal,India,2115295,21512
West Bengal,India,1588066,19081
West Bengal,India,1997530,20652
West Bengal,India,548471,9625
West Bengal,India,573762,10249
West Bengal,India,516505,8966
West Bengal,India,2118454,21531
West Bengal,India,1693744,19846
West Bengal,India,2115959,21516
West Bengal,India,341426,6368
West Bengal,India,459918,8072
West Bengal,India,122753,2528
West Bengal,India,1632906,19745
West Bengal,India,954282,12076
West Bengal,India,574301,10256
West Bengal,India,1521261,18040
West Bengal,India,566073,10074
West Bengal,India,209146,4062
West Bengal,India,513752,8916
West Bengal,India,2019501,21204
West Bengal,India,528211,9191
West Bengal,India,2051711,21243
West Bengal,India,2018205,21201
West Bengal,India,2017765,21200
West Bengal,India,101390,2149
West Bengal,India,1512129,17916
West Bengal,India,2015912,21180
West Bengal,India,1638485,19764
West Bengal,India,2019124,21203
West Bengal,India,1411448,16034
West Bengal,India,1928961,20193
West Bengal,India,119578,2473
West Bengal,India,180788,3562
West Bengal,India,30013,932
West Bengal,India,1558860,18613
West Bengal,India,1533128,18217
West Bengal,India,546008,9569
West Bengal,India,416984,7452
West Bengal,India,576623,10278
West Bengal,India,150772,3017
West Bengal,India,1995516,20619
West Bengal,India,2019093,21203
West Bengal,India,2019543,21204
West Bengal,India,1267090,14364
West Bengal,India,2114259,21505
West Bengal,India,2029425,21219
West Bengal,India,1627076,19669
West Bengal,India,636885,10480
West Bengal,India,549715,9655
West Bengal,India,2009717,20965
West Bengal,India,574926,10266
West Bengal,India,1655228,19794
West Bengal,India,56377,1332
West Bengal,India,521795,9057
West Bengal,India,110358,2319
West Bengal,India,2017940,21200
West Bengal,India,95554,2059
West Bengal,India,190063,3730
West Bengal,India,25911,854
West Bengal,India,571371,10207
West Bengal,India,2037590,21228
West Bengal,India,449131,7923
West Bengal,India,2077005,21294
West Bengal,India,1600732,19267
West Bengal,India,2106524,21460
West Bengal,India,2056285,21251
West Bengal,India,2018260,21201
West Bengal,India,572728,10233
West Bengal,India,916635,11847
West Bengal,India,776345,11082
West Bengal,India,2117419,21526
West Bengal,India,2017611,21200
West Bengal,India,2008950,20938
West Bengal,India,349701,6487
West Bengal,India,2017202,21197
West Bengal,India,544755,9536
West Bengal,India,466991,8172
West Bengal,India,1517380,17988
West Bengal,India,2110790,21488
West Bengal,India,1534999,18252
West Bengal,India,2116520,21519
West Bengal,India,1755046,19901
West Bengal,India,2108827,21481
West Bengal,India,1574017,18876
West Bengal,India,2019927,21205
West Bengal,India,1907084,20121
West Bengal,India,1566865,18751
West Bengal,India,221960,4298
West Bengal,India,1209958,13895
West Bengal,India,116498,2428
West Bengal,India,2112558,21494
West Bengal,India,568884,10139
West Bengal,India,196332,3828
West Bengal,India,1631065,19726
West Bengal,India,2103761,21430
West Bengal,India,1403535,15921
West Bengal,India,218772,4242
West Bengal,India,228302,4421
West Bengal,India,550893,9683
West Bengal,India,1525773,18109
West Bengal,India,49321,1221
West Bengal,India,2015980,21181
West Bengal,India,1610460,19397
West Bengal,India,1513877,17944
West Bengal,India,2017495,21199
West Bengal,India,2085389,21320
West Bengal,India,473987,8270
West Bengal,India,1477037,17240
West Bengal,India,552063,9712
West Bengal,India,1577711,18924
West Bengal,India,2020544,21206
West Bengal,India,973718,12203
West Bengal,India,337283,6308
West Bengal,India,1620803,19568
West Bengal,India,1284973,14517
West Bengal,India,1543496,18371
West Bengal,India,2011221,21040
West Bengal,India,428498,7610
West Bengal,India,1548604,18447
West Bengal,India,2118212,21530
West Bengal,India,1559567,18620
West Bengal,India,2118451,21531
West Bengal,India,564707,10041
West Bengal,India,1664301,19810
West Bengal,India,18559,668
West Bengal,India,2096121,21380
West Bengal,India,1616751,19498
West Bengal,India,2109677,21484
West Bengal,India,1590032,19105
West Bengal,India,1532379,18202
West Bengal,India,1581946,18998
West Bengal,India,2019058,21203
West Bengal,India,534850,9320
West Bengal,India,1560286,18629
West Bengal,India,2118276,21530
West Bengal,India,554975,9792
West Bengal,India,1611983,19419
West Bengal,India,2087715,21334
West Bengal,India,1917514,20155
West Bengal,India,575118,10268
West Bengal,India,452770,7976
West Bengal,India,2020972,21207
West Bengal,India,199493,3887
West Bengal,India,1512129,17916
West Bengal,India,10244,451
West Bengal,India,493316,8576
West Bengal,India,2099433,21400
West Bengal,India,1619722,19553
West Bengal,India,1542425,18356
West Bengal,India,1524296,18085
West Bengal,India,1635034,19757
West Bengal,India,22126,757
West Bengal,India,1579012,18945
West Bengal,India,1531662,18193
West Bengal,India,2017778,21200
West Bengal,India,569998,10173
West Bengal,India,1419130,16152
West Bengal,India,361703,6664
West Bengal,India,60830,1411
West Bengal,India,2017389,21197
West Bengal,India,2015862,21180
West Bengal,India,231484,4483
West Bengal,India,2053626,21246
West Bengal,India,2019444,21204
West Bengal,India,2015107,21176
West Bengal,India,2018153,21201
West Bengal,India,14728,580
West Bengal,India,1591994,19126
West Bengal,India,2017733,21200
West Bengal,India,34427,1000
West Bengal,India,40209,1076
West Bengal,India,1993606,20583
West Bengal,India,132364,2689
West Bengal,India,2027901,21218
West Bengal,India,1711957,19864
West Bengal,India,1565645,18727
West Bengal,India,2118461,21531
West Bengal,India,1621370,19575
West Bengal,India,1053117,12728
West Bengal,India,9768,442
West Bengal,India,159785,3176
West Bengal,India,559886,9922
West Bengal,India,2111196,21490
West Bengal,India,573012,10237
West Bengal,India,1863697,20013
West Bengal,India,22987,779
West Bengal,India,2013789,21152
West Bengal,India,1516481,17980
West Bengal,India,572879,10235
West Bengal,India,935066,11964
West Bengal,India,574099,10253
West Bengal,India,2018713,21203
West Bengal,India,2017507,21199
West Bengal,India,2079491,21300
West Bengal,India,2065360,21265
West Bengal,India,483484,8424
West Bengal,India,1603318,19307
West Bengal,India,42487,1112
West Bengal,India,1572460,18848
West Bengal,India,2019747,21205
West Bengal,India,129119,2634
West Bengal,India,381608,6957
West Bengal,India,1521261,18040
West Bengal,India,1548058,18434
West Bengal,India,759942,11009
West Bengal,India,505054,8771
West Bengal,India,302020,5744
West Bengal,India,1625375,19645
West Bengal,India,572032,10225
West Bengal,India,2017823,21200
West Bengal,India,2018067,21201
West Bengal,India,1549283,18459
West Bengal,India,1618016,19523
West Bengal,India,1558117,18599
West Bengal,India,541624,9473
West Bengal,India,643795,10506
West Bengal,India,2104459,21437
West Bengal,India,1570539,18815
West Bengal,India,2010389,20990
West Bengal,India,576435,10277
West Bengal,India,2019574,21204
West Bengal,India,2118443,21531
West Bengal,India,2117963,21527
West Bengal,India,1625955,19652
West Bengal,India,1248668,14208
West Bengal,India,2110232,21486
West Bengal,India,565661,10063
West Bengal,India,588189,10331
West Bengal,India,377651,6900
West Bengal,India,1533803,18229
West Bengal,India,2097679,21389
West Bengal,India,2021917,21208
West Bengal,India,16190,616
West Bengal,India,241059,4665
West Bengal,India,572405,10230
West Bengal,India,1649150,19781
West Bengal,India,2116686,21520
West Bengal,India,1580530,18977
West Bengal,India,2015018,21175
West Bengal,India,580209,10303
West Bengal,India,572220,10229
West Bengal,India,72777,1629
West Bengal,India,1568321,18778
West Bengal,India,2018600,21203
West Bengal,India,1579463,18953
West Bengal,India,1479523,17295
West Bengal,India,1611180,19407
West Bengal,India,1524958,18095
West Bengal,India,1541747,18346
West Bengal,India,2021267,21207
West Bengal,India,8985,415
West Bengal,India,2086483,21327
West Bengal,India,1576337,18905
West Bengal,India,284030,5439
West Bengal,India,558173,9881
West Bengal,India,405314,7294
West Bengal,India,2091767,21352
West Bengal,India,2020296,21205
West Bengal,India,2117790,21527
West Bengal,India,1461257,16896
West Bengal,India,2118212,21530
West Bengal,India,567304,10097
West Bengal,India,1614152,19450
West Bengal,India,2015545,21178
West Bengal,India,1442830,16555
West Bengal,India,2105535,21449
West Bengal,India,1628464,19696
West Bengal,India,1550664,18483
West Bengal,India,147775,2964
West Bengal,India,2017348,21197
West Bengal,India,373664,6841
West Bengal,India,619407,10414
West Bengal,India,1544817,18393
West Bengal,India,2107514,21470
West Bengal,India,1599091,19240
West Bengal,India,58718,1372
West Bengal,India,1555405,18553
West Bengal,India,566482,10080
West Bengal,India,2103325,21427
West Bengal,India,2118186,21530
West Bengal,India,2008133,20912
West Bengal,India,2118339,21531
West Bengal,India,1598488,19226
West Bengal,India,2048749,21239
West Bengal,India,1481707,17348
West Bengal,India,431551,7661
West Bengal,India,1624715,19633
West Bengal,India,610498,10390
West Bengal,India,98459,2100
West Bengal,India,579826,10301
West Bengal,India,570380,10188
West Bengal,India,11909,495
West Bengal,India,1592908,19141
West Bengal,India,1094802,12993
West Bengal,India,28453,906
West Bengal,India,2013353,21132
West Bengal,India,651508,10540
West Bengal,India,1965245,20338
West Bengal,India,1523639,18073
West Bengal,India,2025523,21216
West Bengal,India,2000253,20687
West Bengal,India,1587260,19066
West Bengal,India,2018646,21203
West Bengal,India,2016770,21194
West Bengal,India,1530850,18180
West Bengal,India,434563,7714
West Bengal,India,1601586,19280
West Bengal,India,1508223,17850
West Bengal,India,1522833,18064
West Bengal,India,571490,10209
West Bengal,India,2059264,21255
West Bengal,India,1528019,18136
West Bengal,India,294806,5622
West Bengal,India,1631817,19733
West Bengal,India,2092880,21359
West Bengal,India,1897699,20088
West Bengal,India,15648,606
West Bengal,India,424675,7557
West Bengal,India,144801,2909
West Bengal,India,1229805,14054
West Bengal,India,1518181,17999
West Bengal,India,572595,10232
West Bengal,India,2017578,21200
West Bengal,India,44769,1147
West Bengal,India,2017971,21201
West Bengal,India,898533,11744
West Bengal,India,577511,10286
West Bengal,India,2016737,21193
West Bengal,India,1032740,12593
West Bengal,India,2117999,21527
West Bengal,India,2116859,21521
West Bengal,India,463463,8121
West Bengal,India,1618016,19523
West Bengal,India,13531,540
West Bengal,India,2109952,21485
West Bengal,India,2098417,21393
West Bengal,India,171681,3394
West Bengal,India,555572,9817
West Bengal,India,2118438,21531
West Bengal,India,614896,10400
West Bengal,India,2012794,21107
West Bengal,India,2118466,21531
West Bengal,India,2014803,21172
West Bengal,India,1642997,19773
West Bengal,India,17907,653
West Bengal,India,2118433,21531
West Bengal,India,1501284,17735
West Bengal,India,591658,10340
West Bengal,India,420840,7506
West Bengal,India,298389,5682
West Bengal,India,1343442,15120
West Bengal,India,519215,9010
West Bengal,India,2018579,21203
West Bengal,India,1569778,18806
West Bengal,India,1607516,19355
West Bengal,India,2019149,21203
West Bengal,India,1540258,18325
West Bengal,India,156766,3126
West Bengal,India,1623191,19600
West Bengal,India,65258,1490
West Bengal,India,2117304,21525
West Bengal,India,2102487,21422
West Bengal,India,2118350,21531
West Bengal,India,1557414,18587
West Bengal,India,199493,3887
West Bengal,India,562795,9993
West Bengal,India,253768,4899
West Bengal,India,2024972,21216
West Bengal,India,1579906,18963
West Bengal,India,1567573,18764
West Bengal,India,409221,7350
West Bengal,India,174659,3452
West Bengal,India,510951,8867
West Bengal,India,287603,5501
West Bengal,India,1586455,19055
West Bengal,India,2021555,21207
West Bengal,India,1530024,18170
West Bengal,India,21231,736
West Bengal,India,80984,1785
West Bengal,India,2110507,21487
West Bengal,India,2115134,21510
West Bengal,India,1535699,18258
West Bengal,India,2116323,21518
West Bengal,India,569173,10148
West Bengal,India,2108623,21480
West Bengal,India,1730759,19883
West Bengal,India,270331,5194
West Bengal,India,1073956,12857
West Bengal,India,2118464,21531
West Bengal,India,1969791,20375
West Bengal,India,389576,7068
West Bengal,India,496522,8628
West Bengal,India,2002169,20723
West Bengal,India,659927,10568
West Bengal,India,575316,10268
West Bengal,India,1509218,17867
West Bengal,India,2112872,21495
West Bengal,India,2017748,21200
West Bengal,India,1574801,18882
West Bengal,India,329057,6180
West Bengal,India,1595414,19174
West Bengal,India,536828,9360
West Bengal,India,1575577,18894
West Bengal,India,1774332,19917
West Bengal,India,1606656,19341
West Bengal,India,2118049,21527
West Bengal,India,1630082,19711
West Bengal,India,2106302,21457
West Bengal,India,2074550,21288
West Bengal,India,1366240,15410
West Bengal,India,2005037,20789
West Bengal,India,2035617,21225
West Bengal,India,2101547,21417
West Bengal,India,2016438,21187
West Bengal,India,568355,10122
West Bengal,India,2111492,21491
West Bengal,India,2118389,21531
West Bengal,India,1621998,19584
West Bengal,India,1594495,19160
West Bengal,India,571178,10202
West Bengal,India,2017900,21200
West Bengal,India,280504,5376
West Bengal,India,1584492,19033
West Bengal,India,1562710,18678
West Bengal,India,1506279,17817
West Bengal,India,2018874,21203
West Bengal,India,2024244,21214
West Bengal,India,1491219,17551
West Bengal,India,2115859,21515
West Bengal,India,606455,10378
West Bengal,India,2018313,21202
West Bengal,India,2017233,21197
West Bengal,India,1537185,18276
West Bengal,India,1616083,19486
West Bengal,India,1152433,13431
Uttarakhand,India,342572,7370
Uttarakhand,India,103602,1736
Uttarakhand,India,142349,2021
Uttarakhand,India,343459,7393
Uttarakhand,India,95640,1631
Uttarakhand,India,449260,7751
Uttarakhand,India,437549,7693
Uttarakhand,India,391915,7468
Uttarakhand,India,449066,7748
Uttarakhand,India,21234,291
Uttarakhand,India,7593,86
Uttarakhand,India,339537,7086
Uttarakhand,India,69693,1133
Uttarakhand,India,436985,7689
Uttarakhand,India,344043,7403
Uttarakhand,India,341573,7357
Uttarakhand,India,437867,7693
Uttarakhand,India,415514,7521
Uttarakhand,India,445746,7725
Uttarakhand,India,343787,7398
Uttarakhand,India,436182,7683
Uttarakhand,India,438747,7696
Uttarakhand,India,438403,7695
Uttarakhand,India,429539,7618
Uttarakhand,India,340724,7333
Uttarakhand,India,439798,7702
Uttarakhand,India,97031,1686
Uttarakhand,India,412701,7514
Uttarakhand,India,20398,280
Uttarakhand,India,341486,7357
Uttarakhand,India,341536,7357
Uttarakhand,India,437146,7691
Uttarakhand,India,344697,7415
Uttarakhand,India,83502,1372
Uttarakhand,India,3373,46
Uttarakhand,India,344050,7403
Uttarakhand,India,2947,41
Uttarakhand,India,447805,7736
Uttarakhand,India,449031,7751
Uttarakhand,India,437297,7692
Uttarakhand,India,449176,7751
Uttarakhand,India,114024,1793
Uttarakhand,India,58360,933
Uttarakhand,India,2984,42
Uttarakhand,India,449217,7751
